nombre_escenario,direccion,barrio,latitud,longitud
NÃºcleo recreativo Centro de IntegraciÃ³n Cultural y Deportivo Florencia,CALLE 113    70    105,Tejelo,6.30868,-75.56904
Cancha de tenis de campo N 3 en polvo de ladrillo Unidad TenÃ­stica Carlos J. EchavarrÃ­a,CARRERA 70    48    193,Estadio,6.25362,-75.58777
Sede administrativa o espacio complementario Centro de IntegraciÃ³n Cultural y Deportivo Florencia,CALLE 113    70    105,Tejelo,6.30868,-75.56904
Cancha de tenis de campo N 4 en polvo de ladrillo Unidad TenÃ­stica Carlos J. EchavarrÃ­a,CARRERA 70    48    193,Estadio,6.25362,-75.58777
Sede administrativa o espacio complementario Colgate Palmolive,CALLE 113    67 B   86,Florencia,6.30904,-75.56548
Cancha de tenis de campo N 5 en polvo de ladrillo Unidad TenÃ­stica Carlos J. EchavarrÃ­a,CARRERA 70    48    193,Estadio,6.25362,-75.58777
Sede administrativa o espacio complementario Unidad Deportiva Juanes de la Paz,CARRERA 65    98    50,BatallÃ³n Girardot,6.29339,-75.56866
Cancha de tenis de campo N 6 en polvo de ladrillo Unidad TenÃ­stica Carlos J. EchavarrÃ­a,CARRERA 70    48    193,Estadio,6.25362,-75.58777
Sede administrativa o espacio complementario Unidad Deportiva de Castilla JosÃ© RenÃ© Higuita,CARRERA 69    101    25,Girardot,6.29717,-75.57113
Cancha de tenis de campo N 7 en polvo de ladrillo Unidad TenÃ­stica Carlos J. EchavarrÃ­a,CARRERA 70    48    193,Estadio,6.25362,-75.58777
Sede administrativa o espacio complementario UVA Sin Fronteras,CARRERA 64    97 A   155,Tricentenario,6.29364,-75.56672
Cancha de tenis de campo N 8 en polvo de ladrillo Unidad TenÃ­stica Carlos J. EchavarrÃ­a,CARRERA 70    48    193,Estadio,6.25362,-75.58777
Sede administrativa o espacio complementario Tricentenario,CARRERA 64    94 A   200,Tricentenario,6.2902,-75.56697
Deslizaderos Unidad Deportiva de Castilla JosÃ© RenÃ© Higuita,CARRERA 69    101    25,Girardot,6.29717,-75.57113
Cancha de tenis de campo N 9 en polvo de ladrillo Unidad TenÃ­stica Carlos J. EchavarrÃ­a,CARRERA 70    48    193,Estadio,6.25362,-75.58777
Parque infantil Unidad Deportiva de Castilla JosÃ© RenÃ© Higuita,CARRERA 69    101    25,Girardot,6.29717,-75.57113
Muro de prÃ¡ctica de tenis N 1 Unidad Deportiva Juanes de la Paz,CARRERA 65    98    50,Girardot,6.29537,-75.56811
Cancha de vÃ³ley playa N 1 Unidad Deportiva Atanasio Girardot,CARRERA 70    48    193  101,Estadio,6.25362,-75.58777
Muro de prÃ¡ctica de tenis N 2 Unidad Deportiva Juanes de la Paz,CARRERA 65    98    50,Girardot,6.29537,-75.56811
Cancha de vÃ³ley playa N 2 Unidad Deportiva Atanasio Girardot,CARRERA 70    48    193  101,Estadio,6.25362,-75.58777
Zona de lanzamiento de baloncesto Unidad Deportiva de Castilla JosÃ© RenÃ© Higuita,CARRERA 69    101    25,Girardot,6.29717,-75.57113
Zona de aerÃ³bicos La Playita,CARRERA 63    120    36,Toscana,6.30716,-75.55825
Gimnasio al aire libre Desarrollo Deportivo Integral Antonio NariÃ±o,CARRERA 108    42    94  102,San Javier NÂº 1,6.25624,-75.6214
Coliseo Centro de IntegraciÃ³n Cultural y Deportivo Florencia,CALLE 113    70    105,Tejelo,6.30868,-75.56904
Pista de atletismo Estadio de Atletismo Alfonso Galvis,CARRERA 70    48    193,Estadio,6.25362,-75.58777
Zona de salto Estadio de Atletismo Alfonso Galvis,CARRERA 70    48    193,Estadio,6.25362,-75.58777
Gimnasio al aire libre Desarrollo Deportivo Integral El Salado,CARRERA 120    39 F D  100,El Salado,6.2562,-75.62763
Diamante de BÃ©isbol Luis Alberto VIllegas,CARRERA 70    48    193,Estadio,6.25362,-75.58777
Diamante de SÃ³ftbol Oswaldo Osorio,CALLE 47 D   75    276,Estadio,6.2563,-75.59374
Piscina Unidad Deportiva La Floresta,CALLE 47    87 C   100,Campo Alegre,6.25647,-75.60499
Gimnasio al aire libre Desarrollo Deportivo Integral El Socorro,CARRERA 102    47 C   33,El Socorro,6.26159,-75.61691
Gimnasio al aire libre El CorazÃ³n La Asomadera,CALLE 34 B   112 C   01,El CorazÃ³n,6.24672,-75.62478
Gimnasio al aire libre El Pozo,CARRERA 83    56    07,El Pesebre,6.27129,-75.59879
Gimnasio al aire libre El Salado Las Independencias,CALLE 39 D   112    11,Veinte de Julio,6.25319,-75.62666
Gimnasio al aire libre Intercambio Vial La 80 El Pesebre N 1,CALLE 60    80 A,El Pesebre,6.2716,-75.5946
Gimnasio al aire libre Intercambio Vial La 80 El Pesebre N 2,CALLE 60    80 A,El Pesebre,6.2716,-75.5946
Coliseo UVA Sin Fronteras,CARRERA 64    97 A   155,Tricentenario,6.23973,-75.58067
Gimnasio al aire libre Metropolitano,CARRERA 96    49 C   61,Metropolitano,6.2639,-75.60779
Cancha polideportiva Alfonso LÃ³pez,CALLE 92    70 A,Alfonso LÃ³pez,6.28422,-75.5761
Gimnasio al aire libre Nuevos Conquistadores,CALLE 39 B F  113 B   050,Veinte de Julio,6.25235,-75.62538
Gimnasio al aire libre Villa Laura,CARRERA 105 B   34 B B  124  101,Belencito,6.24612,-75.62048
Cancha polideportiva BelalcÃ¡zar,CALLE 103 E E  63 D   33,Castilla,6.2977,-75.56442
Pista de skate Quintas de San Javier,CALLE 43 B   120    02,Antonio NariÃ±o,6.25805,-75.62603
Cancha polideportiva BelalcÃ¡zar La Perrera,CARRERA 63 C   103 D,Belalcazar,6.29558,-75.56316
Ludoteka Desarrollo Deportivo Integral El Salado,CARRERA 120    39 F D  100,El Salado,6.2562,-75.62763
Cancha de fÃºtbol 7 en grama sintÃ©tica Unidad Deportiva de Castilla JosÃ© RenÃ© Higuita,CARRERA 69    101    25,Girardot,6.29717,-75.57113
Cancha polideportiva BoyacÃ¡ N 1,CALLE 109 A   67,BoyacÃ¡,6.30569,-75.56601
Ludoteka UVA San Javier - Huellas de Vida,CALLE 50 D   62    95,Veinte de Julio,6.20578,-75.58173
Cancha polideportiva cubierta Brisas del Norte,CARRERA 67 B   119 A,Las Brisas,6.3118,-75.56514
Cancha polideportiva El Cuadrito,CALLE 92 F   68,Francisco Antonio Zea,1.23456789012346,1.23456789012346
Cancha polideportiva El Divino NiÃ±o,CARRERA 71 B   89 B,Alfonso LÃ³pez,6.28457,-75.5778
Cancha polideportiva El Hueco,CARRERA 70    89,Alfonso LÃ³pez,6.22371,-75.592
NÃºcleo recreativo UVA San Javier - Huellas de Vida,CALLE 50 D   62    95,Veinte de Julio,6.20578,-75.58173
Cancha polideportiva cubierta Florencia,CALLE 113    70    105,Tejelo,6.3088,-75.56889
Cancha polideportiva Francisco Antonio Zea,CALLE 91 A   67,Alfonso LÃ³pez,6.28331,-75.57243
Cancha polideportiva Francisco Antonio Zea N 3,CALLE 92 B B  68 B,Alfonso LÃ³pez,6.28543,-75.57537
Cancha polideportiva cubierta HÃ©ctor Abad GÃ³mez,CALLE 105 A   64 E,HÃ©ctor Abad GÃ³mez,6.3031,-75.56557
Cancha polideportiva cubierta La Israela,CALLE 110 A   75,Tejelo,6.30813,-75.57112
Cancha polideportiva La Playita,CARRERA 63    120    36,Toscana,6.30969,-75.55881
Cancha polideportiva Los Rieles,CALLE 101    66 B,Girardot,6.29624,-75.569
Cancha polideportiva Maestro Arenas Betancurt,CARRERA 67    98 A,Girardot,6.29431,-75.56983
Cancha polideportiva cubierta Plaza ColÃ³n,CALLE 109    63 B   60,HÃ©ctor Abad GÃ³mez,6.30351,-75.55944
Cancha polideportiva N 1 TÃ©jelo,CALLE 108    74,Tejelo,6.30706,-75.57083
Cancha polideportiva N 2 TÃ©jelo,CARRERA 70    107,Tejelo,6.30569,-75.57022
Cancha polideportiva Toscana,CALLE 112    63    64,Toscana,6.30659,-75.55977
Cancha polideportiva Tricentenario,CARRERA 64    94 A   200,Tricentenario,6.2902,-75.56697
Sede administrativa o espacio complementario Unidad TenÃ­stica Carlos J. EchavarrÃ­a,CARRERA 70    48    193,Estadio,6.25362,-75.58777
Sede administrativa o espacio complementario Estadio de Futbol Atanasio Girardot,CARRERA 70    48    193,Estadio,6.25362,-75.58777
Sede administrativa o espacio complementario Complejo AcuÃ¡tico Unidad Deportiva Atanasio Girardot,CARRERA 70    48    193,Estadio,6.25362,-75.58777
Sede administrativa o espacio complementario Estadio de Atletismo Alfonso Galvis,CARRERA 70    48    193,Estadio,6.25362,-75.58777
Sede administrativa o espacio complementario Inder MedellÃ­n,CALLE 47 D   75    276,Estadio,6.25634,-75.59374
Sede administrativa o espacio complementario Diamante de BÃ©isbol Luis Alberto VIllegas,CARRERA 70    48    193,Estadio,6.25362,-75.58777
Sede administrativa o espacio complementario Marte N 1,CARRERA 70    48    193,Estadio,6.25362,-75.58777
"Sede administrativa o espacio complementario VelÃ³dromo MartÃ­n Emilio ""Cochise"" RodrÃ­guez,CALLE 47 D   75    276,Estadio,6.2563,-75.59374"
Sede administrativa o espacio complementario Diamante de SÃ³ftbol Oswaldo Osorio,CALLE 47 D   75    276,Estadio,6.2563,-75.59374
Sede administrativa o espacio complementario Desarrollo Deportivo Integral El Progreso,CALLE 106 C   82 A   100,Doce de Octubre NÂº 1,6.30471,-75.56638
Sede administrativa o espacio complementario Desarrollo Deportivo Integral La Tinajita,CARRERA 76    105    15,Santander,6.30544,-75.5723
Ludoteka Unidad Deportiva Doce de Octubre,CALLE 104 B   77 B   21,Santander,6.30387,-75.57683
Sede administrativa o espacio complementario Desarrollo Deportivo Integral de Robledo,CALLE 63    84    131,Robledo,6.27377,-75.59647
Sede administrativa o espacio complementario Territorio Robledo,CALLE 70 E   99    67,Monteclaro,6.28886,-75.598
Sede administrativa o espacio complementario Desarrollo Deportivo Integral Las Estancias,CALLE 52 A   10 A   120,Villatina,6.23441,-75.53879
Sede administrativa o espacio complementario UVA Sol de Oriente,CARRERA 18 A   56 E F  36,Trece de Noviembre,6.24358,-75.54066
Sede administrativa o espacio complementario Unidad Deportiva La Ladera,CARRERA 36    59 A   80,La Ladera,6.25135,-75.55322
Sede administrativa o espacio complementario Unidad Deportiva Miraflores,CARRERA 26 A   49 A   110,Alejandro Echevarria,6.24,-75.54952
Sede Administrativa o espacio complementario La Asomadera,CARRERA 38 C   39 B   20,San Diego,6.23601,-75.56501
Sede administrativa o espacio complementario Desarrollo Deportivo Integral Alejandro EchavarrÃ­a,CARRERA 14 C   49    22,Alejandro Echevarria,6.23363,-75.54215
Sede administrativa o espacio complementario Betania BelÃ©ncito,CALLE 34 A A  93 B   27,Betania,6.24676,-75.63297
Sede administrativa o espacio complementario Desarrollo Deportivo Integral Antonio NariÃ±o,CARRERA 108    42    94,Antonio NariÃ±o,6.25592,-75.62122
Sede administrativa o espacio complementario Desarrollo Deportivo Integral El Salado,CARRERA 120    39 F D  100,El Salado,6.2562,-75.62763
Sede administrativa o espacio complementario Desarrollo Deportivo Integral El Socorro,CARRERA 102    47 C   33,El Socorro,6.26159,-75.61691
Sede administrativa o espacio complementario Los AlcÃ¡zares,CALLE 48 B   88 A   62,Los AlcÃ¡zares,6.25795,-75.59153
Sede administrativa o espacio complementario UVA San Javier - Huellas de Vida,CALLE 50 D   62    95,Veinte de Julio,6.20578,-75.58173
Sede administrativa o espacio complementario Juan Pablo II,CARRERA 70    16    04,Juan Pablo II,6.22199,-75.59141
Sede administrativa o espacio complementario Unidad Deportiva MarÃ­a Luisa Calle,CARRERA 70    1    180,Parque Juan Pablo II,6.21517,-75.59326
Sede administrativa o espacio complementario Parque Recreativo Providencia,CALLE 12   SUR 25    72,Los Balsos NÂº 1,6.18735,-75.56248
Sede administrativa o espacio complementario Coliseo Carlos Mauro Hoyos,CARRERA 70    16    04,Parque Juan Pablo II,6.22144,-75.59229
Sede administrativa o espacio complementario Guayabal El Bolo,CALLE 12 A A SUR 55 B   02,La Colina,6.19909,-75.5956
Sede administrativa o espacio complementario Bolera Suramericana Unidad Deportiva de BelÃ©n AndrÃ©s Escobar Saldarriaga,CARRERA 66 B   30 A   49,Rosales,6.23287,-75.58732
Sede administrativa o espacio complementario Canchas de Tenis Unidad Deportiva de BelÃ©n AndrÃ©s Escobar Saldarriaga,CARRERA 66 B   30 A   49,BelÃ©n,6.23302,-75.58807
Sede administrativa o espacio complementario Unidad Deportiva de BelÃ©n AndrÃ©s Escobar Saldarriaga,CARRERA 66 B   30 A   49,Rosales,6.23287,-75.58732
Sede administrativa o espacio complementario Pista Challenger de Bicicross Antonio Roldan Betancur,CALLE 30 A   66 B   61,Rosales,6.23213,-75.58883
Sede administrativa o espacio complementario Centro de IntegraciÃ³n Cultural y Deportivo Loma de Los Bernal,CARRERA 83    5    25,La Loma de Los Bernal,6.23771,-75.6031
Sede administrativa o espacio complementario San Bernardo,CALLE 16    74    61,Las Playas,6.22223,-75.59645
Sede administrativa o espacio complementario Unidad Deportiva BelÃ©n RincÃ³n,CARRERA 76 A   01 C   05,El RincÃ³n,6.21154,-75.59986
Sede administrativa o espacio complementario Palmitas Parque Central,CALLE 140 #193-619,San CristÃ³bal,6.24764,-75.56582
Sede administrativa o espacio complementario Las Mercedes,CALLE 32    84    33,Las Mercedes,6.23419,-75.60786
Sede administrativa o espacio complementario UVA Ciudadela Nuevo Occidente,CARRERA 103    64 B C  120,Pajarito,6.28182,-75.61263
Sede administrativa o espacio complementario Desarrollo Deportivo Integral Loma de Los Bernal,CARRERA 84 B   4 A   90,La Loma de Los Bernal,6.2179,-75.60754
Sede administrativa o espacio complementario Altavista La Esperanza,CALLE 16    99    107,La Esperanza,6.22208,-75.62236
Sede administrativa o espacio complementario Horizontes,CL 40 SUR # 75B - 81,San Antonio de Prado,6.1854,-75.654
Sede administrativa o espacio complementario Limonar N 1,CR 61D 57SUR 7,San Antonio de Prado,6.27819,-75.63091
Sede administrativa o espacio complementario MarÃ­a Auxiliadora,CR 80 CL 43 SUR - 53,San Antonio de Prado,6.18374,-75.6569
Sede administrativa o espacio complementario UVA El ParaÃ­so,CARRERA 75    48   SUR 86,San Antonio,6.25801,-75.59191
Sede administrativa o espacio complementario Desarrollo Deportivo Integral Las Tinajas,CARRERA 14    56 A   14,San Antonio de Prado,6.23762,-75.53807
Cancha polideportiva Unidad Deportiva de Castilla JosÃ© RenÃ© Higuita,CARRERA 69    101    25,Girardot,6.29717,-75.57113
Cancha polideportiva cubierta Unidad Deportiva de Castilla JosÃ© RenÃ© Higuita,CARRERA 69    101    25,Girardot,6.29717,-75.57113
Cancha de baloncesto Francisco Antonio Zea N 2,CALLE 50 D   62    95,Francisco Antonio Zea,6.20578,-75.58173
Cancha de baloncesto Gratamira,CALLE 105 A   64 E,BoyacÃ¡,6.30441,-75.56548
Cancha de fÃºtbol en grama sintÃ©tica Desarrollo Deportivo Integral Las Tinajas,CR 14 56A 14,Santa Elena,6.23956,-75.53635
Cancha de baloncesto La Rionegro,CALLE 92    67 A,Alfonso LÃ³pez,6.28452,-75.57368
Cancha de baloncesto Parque Las Brisas,CARRERA 64 C C  115,Las Brisas,3.70370367037037,3.70370367037037
Cancha de baloncesto Tricentenario,CARRERA 64    94 A   200,Tricentenario,6.2902,-75.56697
Cancha polideportiva cubierta Unidad Deportiva Barrio CristÃ³bal,CARRERA 86 A   39    82,SimÃ³n BolÃ­var,6.24742,-75.60839
Cancha de fÃºtbol en arenilla BoyacÃ¡,CALLE 112 B   65 A,BoyacÃ¡,6.30751,-75.56422
Cancha de fÃºtbol en arenilla Colgate Palmolive,CALLE 113    67 B   86,Florencia,6.30904,-75.56548
Cancha polideportiva Infantil Unidad Deportiva Barrio CristÃ³bal,CARRERA 86 A   39    82,SimÃ³n BolÃ­var,6.24742,-75.60839
Cancha de fÃºtbol en arenilla TÃ©jelo,CALLE 108    74,Tejelo,6.30623,-75.57007
Cancha de fÃºtbol en arenilla Toscana,CALLE 112    63    64,Tejelo,6.30663,-75.55999
Cancha polideportiva cubierta La CristÃ³bal Santa MÃ³nica,CALLE 38    93 B   31,Campo Alegre,6.25055,-75.61382
Cancha de fÃºtbol en grama sintÃ©tica Unidad Deportiva de Castilla JosÃ© RenÃ© Higuita,CARRERA 69    101    25,Girardot,6.29717,-75.57113
Cancha de fÃºtbol en grama sintÃ©tica VÃ­ctor CÃ¡rdenas,CARRERA 71 C   89 B,Alfonso LÃ³pez,6.28507,-75.57854
Cancha polideportiva cubierta Unidad Deportiva La Floresta,CALLE 47    87 C   100,Campo Alegre,6.25647,-75.60499
Cancha de microfÃºtbol en arenilla Francisco Antonio Zea N 1,CALLE 88 C   66,Alfonso LÃ³pez,6.28128,-75.57294
Cancha polideportiva N 1 Santa LucÃ­a,CALLE 44 C   92    09,Campo Alegre,6.25553,-75.61005
Cancha de microfÃºtbol en arenilla Gratamira,CALLE 105 A   64 E,BoyacÃ¡,6.30441,-75.56548
Cancha de microfÃºtbol en grama sintÃ©tica N 1 Unidad Deportiva Juanes de la Paz,CARRERA 65    98    50,Girardot,6.29537,-75.56811
Cancha polideportiva N 2 Santa LucÃ­a,CALLE 44 C   92    09,Campo Alegre,6.25553,-75.61005
Cancha de microfÃºtbol en grama sintÃ©tica N 2 Unidad Deportiva Juanes de la Paz,CARRERA 65    98    50,Girardot,6.29537,-75.56811
Cancha de microfÃºtbol Francisco Antonio Zea N 2,CALLE 50 D   62    95,Francisco Antonio Zea,6.20578,-75.58173
Cancha polideportiva Calazania,CALLE 54    85 C,Calasanz Parte Alta,6.27029,-75.6002
Cancha de microfÃºtbol La Rionegro,CALLE 92    67 A,Alfonso LÃ³pez,6.28452,-75.57368
Cancha polideportiva El Manicomio,CARRERA 84    42 B,La AmÃ©rica,6.24829,-75.60502
Cancha de microfÃºtbol Parque Las Brisas,CARRERA 64 C C  115,Las Brisas,3.70370367037037,3.70370367037037
Cancha polideportiva El Teresiano,CALLE 47    87 C   100,Santa LucÃ­a,6.24596,-75.56672
Cancha polideportiva La AmÃ©rica El TriÃ¡ngulo,CALLE 44 B   87,La AmÃ©rica,6.25259,-75.60527
Cancha de minifÃºtbol Francisco Antonio Zea N 1,CALLE 88 C   66,Alfonso LÃ³pez,6.28128,-75.57294
Cancha de baloncesto La Soledad,CARRERA 82    53 A C,Calasanz Parte Alta,6.26855,-75.59878
Cancha de minitenis N 1 Unidad Deportiva Juanes de la Paz,CARRERA 65    98    50,Girardot,6.29537,-75.56811
Cancha de fÃºtbol en arenilla Unidad Deportiva Barrio CristÃ³bal,CARRERA 86 A   39    82,SimÃ³n BolÃ­var,6.24742,-75.60839
Cancha de fÃºtbol en grama sintÃ©tica Unidad Deportiva Barrio CristÃ³bal,CARRERA 86 A   39    82,SimÃ³n BolÃ­var,6.24742,-75.60839
Cancha de minitenis N 2 Unidad Deportiva Juanes de la Paz,CARRERA 65    98    50,Girardot,6.29537,-75.56811
Gimnasio al aire libre Desarrollo Deportivo Integral El Progreso,CALLE 106 C   82 A   100,Doce de Octubre NÂº 1,6.30471,-75.56638
Cancha de fÃºtbol en grama sintÃ©tica La CristÃ³bal Santa MÃ³nica,CALLE 38    93 B   31,Campo Alegre,6.25055,-75.61382
Cancha de tejo Unidad Deportiva de Castilla JosÃ© RenÃ© Higuita,CARRERA 69    101    25,Girardot,6.29717,-75.57113
Cancha de fÃºtbol en grama sintÃ©tica Unidad Deportiva La Floresta,CALLE 47    87 C   100,Campo Alegre,6.24596,-75.56672
Gimnasio al aire libre Doce de Octubre Los Mangos,CARRERA 84    98 B   06,Picacho,6.29931,-75.58351
Gimnasio al aire libre Desarrollo Deportivo Integral La Tinajita,CARRERA 76    105    15,Santander,6.30544,-75.5723
Gimnasio al aire libre La Raza,CARRERA 80    96,San MartÃ­n de Porres,6.29412,-75.58254
Gimnasio al aire libre La Torre,CARRERA 82    100 A,Doce de Octubre NÂº 2,6.29915,-75.58055
Cancha de fÃºtbol en grama sintÃ©tica Santa LucÃ­a,CALLE 44 C   92    09,Campo Alegre,6.25553,-75.61005
Gimnasio al aire libre La Ucrania,CARRERA 80    101 B   25,Doce de Octubre NÂº 2,6.30123,-75.57889
Cancha de microfÃºtbol en arenilla de Calasanz,CALLE 50 A   82 A   45,Calasanz Parte Alta,6.26503,-75.60099
Pista de Supercross Bmx MarÃ­ana Pajon,CALLE 30 A   66 B   61,Parque Juan Pablo II,6.23213,-75.58883
Cancha de tejo Santa LucÃ­a,CALLE 44 C   92    09,Campo Alegre,6.25553,-75.61005
Zona de bike trial Coliseo Carlos Mauro Hoyos,CARRERA 70    16    04,Parque Juan Pablo II,6.22144,-75.59229
Piscina infantil Los AlcÃ¡zares,CALLE 48 B   88 A   62,Los AlcÃ¡zares,6.25952,-75.60649
Cancha de tenis de campo N 6 en polvo de ladrillo Unidad Deportiva Juanes de la Paz,CARRERA 65    98    50,Girardot,6.29537,-75.56811
Piscina semiolÃ­mpica Los AlcÃ¡zares,CALLE 48 B   88 A   62,Los AlcÃ¡zares,6.25795,-75.59153
Cancha de tenis de campo N 7 en polvo de ladrillo Unidad Deportiva Juanes de la Paz,CARRERA 65    98    50,Girardot,6.29537,-75.56811
Cancha de vÃ³leibol Gratamira,CALLE 105 A   64 E,BoyacÃ¡,6.30441,-75.56548
Parque infantil Los AlcÃ¡zares,CALLE 48 B   88 A   62,Los AlcÃ¡zares,6.25952,-75.60649
Ludoteka Mirador de Calasanz,CARRERA 90    57    18,Calasanz Parte Alta,6.27305,-75.6031
Piscina Unidad Deportiva Doce de Octubre,CALLE 104 B   77 B   21,Santander,6.30387,-75.57683
Gimnasio al aire libre Los Sauces,CALLE 50 D   62    95,Doce de Octubre NÂº 1,6.20578,-75.58173
Gimnasio al aire libre Pedregal MarÃ­a Auxiliadora,CALLE 105 C   71 A,Pedregal,6.303,-75.5699
Gimnasio al aire libre Picacho,CALLE 94 D   80,Picacho,6.29321,-75.5837
Gimnasio al aire libre Unidad Deportiva Doce de Octubre,CALLE 104 B   77 B   21,Santander,6.30387,-75.57683
Gimnasio al aire libre Pista multipropÃ³sito Doce de Octubre,CARRERA 76 B   100 E,Doce de Octubre NÂº 2,6.29987,-75.57755
Gimnasio al aire libre LeÃ³n de Greiff,CALLE 101 D   82 F,Doce de Octubre NÂº 2,6.30244,-75.58126
Gimnasio al aire libre La MaracanÃ¡,CARRERA 73    96,La Esperanza,6.29312,-75.57649
Gimnasio al aire libre La Minita,CALLE 98 A   80 A,Doce de Octubre NÂº 2,6.29763,-75.58084
Gimnasio al aire libre Zona 30,CALLE 104 C   82 F F  25,Doce de Octubre NÂº 1,6.30502,-75.58044
Gimnasio al aire libre Brisas de Robledo,CALLE 97    84 E,Picacho,6.29722,-75.58485
Pista multipropÃ³sito Desarrollo Deportivo Integral La Tinajita,CARRERA 76    105    15,Santander,6.30544,-75.5723
Pista multipropÃ³sito La Ucrania,CARRERA 80    101 B   25,Doce de Octubre NÂº 2,6.30123,-75.57889
Pista multipropÃ³sito Los Sauces,CALLE 50 D   62    95,Doce de Octubre NÂº 1,6.20578,-75.58173
Pista multipropÃ³sito Doce de Octubre,CARRERA 76 B   100 E,Doce de Octubre NÂº 2,6.29987,-75.57755
Ludoteka Desarrollo Deportivo Integral El Progreso,CALLE 106 C   82 A   100,Doce de Octubre NÂº 2,6.30471,-75.56638
Sede Administrativa o espacio complementario Doce de Octubre Los Mangos,CALLE 50 D   62    95,Picacho,6.20578,-75.58173
Deslizaderos Unidad Deportiva Doce de Octubre,CALLE 104 B   77 B   21,Santander,6.30387,-75.57683
Fuentes interactivas Territorio Robledo,CALLE 70 E   99    67,Monteclaro,6.28886,-75.598
Gimnasio al aire libre Aures El Chispero,CALLE 88    92 A,Aures NÂº 2,6.29281,-75.58993
Gimnasio al aire libre Bosques de San Pablo,CARRERA 71    75,Bosques de San Pablo,6.25148,-75.59008
Gimnasio al aire libre Ciudad Central,CARRERA 68    82,CÃ³rdoba,6.28073,-75.57491
Gimnasio al aire libre CÃ³rdoba,CALLE 79 D   71 A,Altamira,6.27906,-75.57846
Gimnasio al aire libre Curazao,CALLE 76 C A  90 D   32,Aures NÂº 1,6.2843,-75.59465
Cancha polideportiva Desarrollo Deportivo Integral El Progreso,CALLE 106 C   82 A   100,Doce de Octubre NÂº 1,6.30471,-75.56638
Cancha polideportiva cubierta Doce de Octubre Los Mangos,CARRERA 84    98 B   06,Picacho,6.29931,-75.58351
Cancha polideportiva N 1 Desarrollo Deportivo Integral La Tinajita,CARRERA 76    105    15,Santander,6.30544,-75.5723
Cancha polideportiva N 2 Desarrollo Deportivo Integral La Tinajita,CARRERA 76    105    15,Santander,6.30536,-75.57271
Cancha polideportiva cubierta La Raza,CARRERA 80    96,San MartÃ­n de Porres,6.29412,-75.58254
Cancha polideportiva La Torre,CARRERA 82    100 A,Doce de Octubre NÂº 2,6.29915,-75.58055
Cancha polideportiva La Ucrania,CARRERA 80    101 B,Doce de Octubre NÂº 2,6.25982,-75.59766
Cancha polideportiva Los Pinos,CARRERA 78    100 A,Doce de Octubre NÂº 2,6.29963,-75.57849
Muro de escalar Los Sauces,CALLE 50 D   62    95,Doce de Octubre NÂº 1,6.20578,-75.58173
Cancha polideportiva Pedregal MarÃ­a Auxiliadora,CALLE 105 C   71 A,Pedregal,6.303,-75.5699
Cancha polideportiva Picacho,CALLE 94 D   80,Picacho,6.29321,-75.5837
Cancha polideportiva San NicolÃ¡s Las Carmelitas,CALLE 97    84 E,Picachito,6.29722,-75.58485
Cancha polideportiva N 1 Doce de Octubre,CARRERA 82    106 D,Doce de Octubre NÂº 1,6.30767,-75.57913
Cancha polideportiva Efe GÃ³mez,CARRERA 81    113,Doce de Octubre NÂº 1,6.22717,-75.60175
Cancha polideportiva cubierta El Triunfo,CARRERA 86    106 D,El Progreso,6.30661,-75.58428
Cancha polideportiva LeÃ³n de Greiff,CALLE 101 D   82 F,Doce de Octubre NÂº 2,6.30298,-75.58177
Cancha polideportiva La Tinaja,CARRERA 75 A   107,Pedregal,6.30607,-75.57163
Cancha polideportiva N 1 La MaracanÃ¡,CARRERA 73    96,La Esperanza,6.29312,-75.57649
Cancha polideportiva N 2 La MaracanÃ¡,CARRERA 73    96,La Esperanza,6.29321,-75.57575
Cancha polideportiva La Minita,CALLE 98 A   80 A,Doce de Octubre NÂº 2,6.29726,-75.58071
Cancha polideportiva La Paz,CARRERA 74    102,Pedregal,6.30028,-75.5736
Cancha polideportiva cubierta La Paz,CARRERA 74    102,Pedregal,6.30028,-75.5736
Cancha polideportiva Zona 30,CALLE 104 C   82 F F  25,Doce de Octubre NÂº 1,6.30502,-75.58044
Cancha polideportiva Brisas de Robledo,CALLE 97    84 E,Picacho,6.29722,-75.58485
Cancha polideportiva cubierta San MartÃ­n de Porres,CARRERA 79    98    76,San MartÃ­n de Porres,6.29668,-75.57995
Cancha polideportiva Pedregal La 74,CARRERA 74    102,Pedregal,6.30028,-75.5736
Cancha de baloncesto Unidad Deportiva Doce de Octubre,CALLE 104 B   77 B   21,Santander,6.30387,-75.57683
Cancha de baloncesto La Tinaja,CARRERA 74 B   104 B,Pedregal,6.26669,-75.58612
Cancha de fÃºtbol en arenilla Doce de Octubre Los Mangos,CARRERA 84    98 B   06,Picacho,6.29931,-75.58351
Cancha de fÃºtbol en grama sintÃ©tica Desarrollo Deportivo Integral El Progreso,CALLE 106 C   82 A   100,Doce de Octubre NÂº 1,6.30471,-75.56638
Cancha de fÃºtbol en grama sintÃ©tica Desarrollo Deportivo Integral La Tinajita,CARRERA 76    105    15,Santander,6.30544,-75.5723
Cancha de fÃºtbol en grama sintÃ©tica Unidad Deportiva Doce de Octubre,CALLE 104 B   77 B   21,Santander,6.30387,-75.57683
Cancha de fÃºtbol en grama sintÃ©tica El PolvorÃ­n,CALLE 95    76 A A,San MartÃ­n de Porres,6.28641,-75.55132
