nombre_escenario,direccion,barrio,latitud,longitud
Pista de patinaje Unidad Deportiva Barrio CristÃ³bal,CARRERA 86 A   39    82,SimÃ³n BolÃ­var,6.24742,-75.60839
Pista de skate Unidad Deportiva La Floresta,CALLE 47    87 C   100,Campo Alegre,6.25647,-75.60499
Plataforma de BÃ¡dminton Coliseo de Combate Guillermo Gaviria Correa,CARRERA 70    48    193,Laureles,6.25362,-75.58777
Pista de skate Santa LucÃ­a,CALLE 47    87 C   100,Santa LucÃ­a,6.24596,-75.56672
Cancha polideportiva Santa MarÃ­a La Torre,CARRERA 28 F   111,Santo Domingo Sabio NÂº 2,6.3017,-75.54057
Cancha de baloncesto N 1 Coliseo IvÃ¡n de Bedout,CARRERA 70    48    193,Laureles,6.25637,-75.58826
"Cancha polideportiva Unidad Deportiva Granizal,CALLE 102    34    222,""Popular, Granizal"",6.29126,-75.5446"
Cancha polideportiva Villa Guadalupe,Cancha de Baloncesto Villa Guadalupe,Villa Guadalupe,6.28677,-75.54931
Cancha polideportiva La Bombonerita EstaciÃ³n Metro Cable Popular N 1,CALLE 107 A   42 B   53,Popular 1-2,6.3082,-75.5774
Cancha de baloncesto N 2 Coliseo IvÃ¡n de Bedout,CARRERA 70    48    193,Laureles,6.25637,-75.58826
"Cancha polideportiva Popular N 1,CARRERA 37 B   107,""Popular, Granizal"",6.29418,-75.54652"
Cancha de baloncesto N 3 Coliseo IvÃ¡n de Bedout,CARRERA 70    48    193,Laureles,6.25637,-75.58826
Cancha de baloncesto Villa Guadalupe,Cancha de Baloncesto Villa Guadalupe,Villa Guadalupe,6.28677,-75.54931
Parque del Ajedrez Unidad Deportiva Atanasio Girardot,CARRERA 70    48    193,Laureles,6.25362,-75.58777
Coliseo de Balonmano Jorge Valderrama Unidad Deportiva Atanasio Girardot,CARRERA 70    48    193,Estadio,6.25362,-75.58777
Cancha de fÃºtbol en arenilla El Rompoy Popular N 1,CALLE 120    42 B B  34,Popular 1-2,6.30317,-75.54539
"Cancha de fÃºtbol en grama sintÃ©tica Unidad Deportiva Granizal,CALLE 102    34    222,""Popular, Granizal"",6.29126,-75.5446"
Cancha de microfÃºtbol Villa Guadalupe,Cancha de Baloncesto Villa Guadalupe,Villa Guadalupe,6.28677,-75.54931
Ludoteka Unidad Deportiva Barrio CristÃ³bal,CARRERA 86 A   39    82,SimÃ³n BolÃ­var,6.24742,-75.60839
"Cancha de microfÃºtbol Popular N 1,CARRERA 37 A   107 A A,""Popular, Granizal"",6.2947,-75.54559"
SalÃ³n de Levantamiento de Pesas Coliseo IvÃ¡n de Bedout,CARRERA 70    48    193,Laureles,6.25637,-75.58826
Cancha de microfÃºtbol El TrÃ©bol La Avanzada,CARRERA 27    106 B B  32,La Avanzada,6.29583,-75.53882
Gimnasio al aire libre El Trompo,CALLE 124    49 B   41,El PlayÃ³n de Los Comuneros,6.30604,-75.55119
Gimnasio al aire libre La Encocada,CARRERA 50 A   97,La Rosa,6.28931,-75.55851
Sede administrativa o espacio complementario Unidad Deportiva Barrio CristÃ³bal,CARRERA 86 A   39    62,SimÃ³n BolÃ­var,6.24771,-75.60768
Gimnasio al aire libre La Germania,CARRERA 51 C   119    21,La Frontera,6.30518,-75.55546
Gimnasio al aire libre La Isla,CALLE 112    47    71,La Isla,6.3018,-75.55039
Gimnasio al aire libre Pablo VI,CALLE 114    50 A,Pablo VI,6.30301,-75.5536
Coliseo de Tenis de Mesa Rodrigo Perez Castro,CARRERA 70    48    193,Laureles,6.25362,-75.58777
Gimnasio al aire libre Villaniza El Botadero,CARRERA 52    104 D,Villa Niza,6.29714,-75.55815
Sede administrativa o espacio complementario Unidad Deportiva La Floresta,CALLE 47    87 C   100,Campo Alegre,6.25647,-75.60499
Zona de Ajedrez Unidad Deportiva Barrio CristÃ³bal,CARRERA 86 A   39    82,SimÃ³n BolÃ­var,6.24742,-75.60839
Gimnasio al aire libre Villa del Socorro,CALLE 104 B   48    61,Villa del Socorro,6.29474,-75.55392
Fuentes interactivas UVA San Javier - Huellas de Vida,CALLE 50 D   62    95,Veinte de Julio,6.20578,-75.58173
Ludoteka CaÃ±ada Negra,CALLE 125    49    19,El PlayÃ³n de Los Comuneros,6.30617,-75.55022
Ludoteka Nuevo Sol de Oriente,CALLE 105 E   50 B B  41,AndalucÃ­a,6.29732,-75.55674
NÃºcleo recreativo Pablo VI,CALLE 114    50 A,Pablo VI,6.30274,-75.55325
Gimnasio al aire libre Betania BelÃ©ncito,CALLE 34 A A  93 B   27,Betania,6.24676,-75.63297
Cancha polideportiva cubierta CaÃ±ada Negra,CALLE 125    49    19,El PlayÃ³n de Los Comuneros,6.30617,-75.55022
Cancha polideportiva El Trompo,CALLE 124    49 B   41,El PlayÃ³n de Los Comuneros,6.30604,-75.55119
Gimnasio al aire libre Blanquizal,CALLE 57 F   92 D D  55,Blanquizal,6.27463,-75.60564
Cancha polideportiva La Encocada,CARRERA 50 A   97,La Rosa,6.28931,-75.55851
Cancha de vÃ³leibol N 1 Coliseo de vÃ³leibol Yesid Santos,CARRERA 70    48    193  105,Laureles,6.25362,-75.58777
Cancha polideportiva cubierta La Isla,CALLE 112    47    71,La Isla,6.30722,-75.5674
Cancha polideportiva Pablo VI,CALLE 114    50 A,Pablo VI,6.30274,-75.55325
Cancha de vÃ³leibol N 2 Coliseo de vÃ³leibol Yesid Santos,CARRERA 70    48    193  105,Laureles,6.25362,-75.58777
Cancha de vÃ³leibol N 3 Coliseo de vÃ³leibol Yesid Santos,CARRERA 70    48    193  105,Laureles,6.25362,-75.58777
Cancha polideportiva La Herrera,CARRERA 48 A   107 E,AndalucÃ­a,6.29847,-75.55245
Cancha de baloncesto La Germania,CARRERA 51 C   119    21,La Frontera,6.30518,-75.55546
Cancha polideportiva cubierta Villa del Socorro,CALLE 104 B   48    61,Villa del Socorro,6.29474,-75.55392
Cancha de fÃºtbol en arenilla La Encocada,CARRERA 50 A   97,La Rosa,6.28931,-75.55851
Cancha de fÃºtbol en arenilla Villa Niza El Botadero,CARRERA 52    104 D,Villa Niza,6.29707,-75.55851
Cancha de fÃºtbol en grama sintÃ©tica Villa del Socorro,CALLE 104    48    12,Villa del Socorro,6.29525,-75.55357
Piscina infantil Unidad Deportiva San Blas,CALLE 86 B B  36 A A  45,Las Granjas,6.27985,-75.5474
Piscina semiolÃ­mpica Unidad Deportiva San Blas,CALLE 86 B B  36 A A  45,Las Granjas,6.27985,-75.5474
Fuentes interactivas Unidad Deportiva San Blas,CALLE 86 B B  36 A A  45,Las Granjas,6.27985,-75.5474
Gimnasio al aire libre Carambolas,CALLE 93    22 C,Maria Cano â€“ Carambolas,6.28326,-75.53936
Gimnasio al aire libre Desarrollo Deportivo Integral El Raizal,CARRERA 32    78,El Raizal,6.28395,-75.54439
Gimnasio al aire libre La Cruz,CARRERA 25    75 C   01,La Cruz,6.26957,-75.53638
Gimnasio al aire libre Unidad Deportiva San Blas,CALLE 86 B B  36 A A  45,Las Granjas,6.27985,-75.5474
Gimnasio al aire libre N 1 Santa InÃ©s,CARRERA 39    80,Santa InÃ©s,6.27195,-75.54966
